"","plant_pop","percent_FAL","percent_HEM","percent_CAER","plant.height","plant.width1","plant.width2","total.stems","stems.vegetative","stems.flowering","stems.fruiting","plant.volume","plant.volume_centered","repro.stage","repro.stage.simp"
"1","18_W_HEM",0,100,0,32,10,9,2,2,0,0,28.8,-31.65775,"veg","veg"
"2","50_D_ATL",15,50,35,30,11,12,8,8,0,0,39.6,-20.85775,"veg","veg"
"3","14_W_HEM",0,100,0,30,10,7,1,1,0,0,21,-39.45775,"veg","veg"
"4","55_D_FLO",33,33,33,40,13,11,3,3,0,0,57.2,-3.25774999999999,"veg","veg"
"5","06_W_FAL",100,0,0,37,11,8,1,1,0,0,32.56,-27.89775,"veg","veg"
"6","33_D_MEE",0,100,0,33,12,7,3,2,1,0,27.72,-32.73775,"flow","repro"
"7","19_W_HEM",0,100,0,26,15,10,3,3,0,0,39,-21.45775,"veg","veg"
"8","42_D_AGA",47,40,13,26,20,20,8,8,0,0,104,43.54225,"veg","veg"
"9","09_W_FAL",100,0,0,15,9,9,5,5,0,0,12.15,-48.30775,"veg","veg"
"10","58_D_GUA",33,33,33,31,16,11,3,1,1,1,54.56,-5.89774999999999,"fruit","repro"
"11","27_W_CAER",0,0,100,32,13,10,2,0,2,0,41.6,-18.85775,"flow","repro"
"12","38_D_KS189",0,0,100,40,13,11,3,2,1,0,57.2,-3.25774999999999,"flow","repro"
"13","32_D_LAD",90,5,5,30,15,14,3,3,0,0,63,2.54225,"veg","veg"
"14","21_W_CAER",0,0,100,36,12,18,1,1,0,0,77.76,17.30225,"veg","veg"
"15","46_D_CUF",1,2,97,30,10,10,2,2,0,0,30,-30.45775,"veg","veg"
"16","10_W_FAL",100,0,0,26,10,9,2,1,0,1,23.4,-37.05775,"fruit","repro"
"17","44_D_WRA",10,20,70,40,15,15,3,0,2,1,90,29.54225,"fruit","repro"
"18","02_W_FAL",100,0,0,21,11,8,1,1,0,0,18.48,-41.97775,"veg","veg"
"19","35_D_ALF",0,0,100,38,14,12,3,0,3,0,63.84,3.38225000000001,"flow","repro"
"20","24_W_CAER",0,0,100,23,16,12,3,3,0,0,44.16,-16.29775,"veg","veg"
"21","34_D_LAH",5,5,90,26,10,14,5,2,3,0,36.4,-24.05775,"flow","repro"
"22","04_W_FAL",100,0,0,29,15,9,5,4,1,0,39.15,-21.30775,"flow","repro"
"23","45_D_AS49",0,0,100,42,19,13,7,7,0,0,103.74,43.28225,"veg","veg"
"24","01_W_FAL",100,0,0,16,15,11,1,1,0,0,26.4,-34.05775,"veg","veg"
"25","11_W_HEM",0,100,0,30,20,22,3,3,0,0,132,71.54225,"veg","veg"
"26","47_D_CAY",11,15,74,38,17,14,5,2,3,0,90.44,29.98225,"flow","repro"
"27","20_W_HEM",0,100,0,23,14,14,4,4,0,0,45.08,-15.37775,"veg","veg"
"28","51_D_RAN",10,45,45,45,16,13,3,3,0,0,93.6,33.14225,"veg","veg"
"29","28_W_CAER",0,0,100,28,18,12,3,3,0,0,60.48,0.0222499999999997,"veg","veg"
"30","41_D_UIN",12,51,37,40,14,18,4,0,3,0,100.8,40.34225,"flow","repro"
"31","26_W_CAER",0,0,100,38,21,15,3,1,2,0,119.7,59.24225,"flow","repro"
"32","43_D_NAR",25,75,0,30,15,16,6,6,0,0,72,11.54225,"veg","veg"
"33","29_W_CAER",0,0,100,49,12,7,3,1,2,0,41.16,-19.29775,"flow","repro"
"34","57_D_MAR",25,75,0,35,23,16,4,1,3,0,128.8,68.34225,"flow","repro"
"35","17_W_HEM",0,100,0,37,27,8,2,2,0,0,79.92,19.46225,"veg","veg"
"36","39_D_MOA",0,0,100,35,13,16,7,4,1,2,72.8,12.34225,"fruit","repro"
"37","48_D_SAR",2,7,91,36,13.5,9,3,0,3,0,43.74,-16.71775,"flow","repro"
"38","03_W_FAL",100,0,0,23,7,23,3,3,0,0,37.03,-23.42775,"veg","veg"
"39","36_D_BUF",0,0,100,34,15.5,14,5,4,1,0,73.78,13.32225,"flow","repro"
"40","07_W_FAL",100,0,0,35,12,9,1,1,0,0,37.8,-22.65775,"veg","veg"
"41","49_D_WIN",33,33,33,49,16,14,3,1,2,0,109.76,49.30225,"flow","repro"
"42","23_W_CAER",0,0,100,21,9,8,2,2,0,0,15.12,-45.33775,"veg","veg"
"43","40_D_KS145",0,0,100,22.5,14,10,4,3,1,0,31.5,-28.95775,"flow","repro"
"44","05_W_FAL",100,0,0,38.5,11.5,10,6,6,0,0,44.275,-16.18275,"veg","veg"
"45","53_D_ZIA",0,0,100,51,20,15,5,2,0,3,153,92.54225,"fruit","repro"
"46","15_W_HEM",0,100,0,13,9,11,3,3,0,0,12.87,-47.58775,"veg","veg"
"47","60_D_WL202",33,51,16,44.5,21,12,4,0,2,2,112.14,51.68225,"fruit","repro"
"48","13_W_HEM",0,100,0,40.5,8.5,6,1,1,0,0,20.655,-39.80275,"veg","veg"
"49","22_W_CAER",0,0,100,37,12,9,1,1,0,0,39.96,-20.49775,"veg","veg"
"50","52_D_VER",33,50,17,53,17,13,4,4,0,0,117.13,56.67225,"veg","veg"
"51","16_W_HEM",0,100,0,25.5,15.5,8,1,1,0,0,31.62,-28.83775,"veg","veg"
"52","37_D_HAI",0,0,100,38,14,12,2,2,0,0,63.84,3.38225000000001,"veg","veg"
"53","30_W_CAER",0,0,100,30.5,18,5,2,2,0,0,27.45,-33.00775,"veg","veg"
"54","31_D_RHI",50,50,0,39.5,18,17,7,7,0,0,120.87,60.41225,"veg","veg"
"55","08_W_FAL",100,0,0,48,12,15,4,3,1,0,86.4,25.94225,"flow","repro"
"56","59_D_CAL",0,0,100,43,13,13.5,5,5,0,0,75.465,15.00725,"veg","veg"
"57","12_W_HEM",0,100,0,42,16,8,2,2,0,0,53.76,-6.69775,"veg","veg"
"58","54_D_TET",50,0,50,40,13,9,5,5,0,0,46.8,-13.65775,"veg","veg"
"59","25_W_CAER",0,0,100,17,10,4,2,2,0,0,6.8,-53.65775,"veg","veg"
"60","56_D_ARC",6,31,63,40.5,16,15,5,5,0,0,97.2,36.74225,"veg","veg"
